Ball#,Pin Name,Signal Name,Function,Ball Reset Rel. Function,Type,Ball Reset State,Pull Up/Down,Buffer Strength,(mA),Power Supply
,,"RGMII_TXD0/
MII_TXD0/
RMII_TXD0",2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D6,4,I,,,,,,
,,TS3_DVLD,5,I,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
F20,PD11,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_NULL/
MII_CRS/
RMII_NULL",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D7,4,I,,,,,,
,,TS3_D0,5,I,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
E19,PD12,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_TXCK/
MII_TXCK/
RMII_TXCK",2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_PWREN,4,O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
K17,PD13,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_TXCTL/
MII_TXEN/
RMII_TXEN",2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_CLK,4,O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
L17,PD14,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_NULL/
MII_TXERR/
RMII_NULL",2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_DATA,4,I/O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
K18,PD15,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_CLKIN/
MII_COL/
RMII_NULL",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_RST,4,O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
L18,PD16,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,MDC,2,O,,,,,,
,,Reserved,3,,NA,,,,,
,,SIM1_DET,4,,I,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,MDIO,2,,I/O,,,,,
,,Reserved,3,,NA,,,,,
L19,PD17,,,Function7,,Z,PU/PD,20,VCC-PD,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_PCLK,2,,I,,,,,
,,TS0_CLK,3,,I,,,,,
B10,PE0,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_MCLK,2,,O,,,,,
,,TS0_ERR,3,,O,,,,,
A10,PE1,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_HSYNC,2,,I,,,,,
,,TS0_SYNC,3,,I,,,,,
B11,PE2,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_VSYNC,2,,I,,,,,
,,TS0_DVLD,3,,I,,,,,
C10,PE3,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D0,2,,I,,,,,
,,TS0_D0,3,,I,,,,,
C9,PE4,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D1,2,,I,,,,,
E10,PE5,TS0_D1,3,Function7,I,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,O,,,,,
